date,value
2016.55,77.8
2016.577,75.6
2016.604,75
2016.631,73.7
2016.658,77.3
2016.685,77.3
2016.712,77.8
2016.739,75.5
2016.766,74.1
2016.793,76.7
2016.821,77.3
2016.848,78.8
2016.875,79.6
2016.902,83.4
2016.928,80.7
2016.956,78.5
2016.983,77.6
2017.01,77.3
2017.037,78.3
2017.065,77
2017.092,75.6
2017.119,75
2017.146,76
2017.173,77.2
2017.2,77.6
2017.227,79.1
2017.255,81
2017.282,79.3
2017.309,78.8
2017.336,78.1
2017.363,78.8
2017.39,75.4
2017.418,78.7
2017.445,78.1
2017.472,77.6
2017.499,78
2017.526,79.2
2017.554,78.8
2017.581,82.8
2017.608,80.6
2017.635,79.6
2017.662,79.9
2017.689,82.3
2017.717,81.6
2017.744,78.9
2017.771,78.6
2017.798,79.9
2017.825,81.8
2017.852,82.1
2017.879,83.6
2017.907,85
2017.934,83.5
2017.961,84.1
2017.988,81.9
2018.014,82.2
